ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
LX000032,tio,peha...meha,determiner constr,,one2.SG...other2.SG,determiner ... pron,,peha ... meha,
peho_1,tio,peho,numeral,tookiu ; vinu,one3.SG,,,peho,
peho_2,tio,peho,determiner,peha_2,INDEF3.SG,,,peho,
peho_saavun,tio,peho saavun,numeral,buaku_saavun ; peho_1 ; saavun,one3.SG ten,,,peho saavun,
peho_saavun_buaku,tio,peho saavun buaku,numeral,buaku ; peho_1 ; saavun,one3.SG ten two,,,peho saavun buaku,
peho_vuri,tio,peho vuri,n3.constr,,INDEF3 time,determiner - n,,peho vuri,
LX000033,tio,peho...meho,pron.constr,kiririi_2 ; poohi ; LX000031 ; peho_1,one3.SG...other3.SG,pron - pron,,peho...meho,
LX000034,tio,peho...meho,determiner constr,,one3.SG...other3.SG,determiner...pron,,peho...meho,
pehum,tio,pehum,n3,hum_1 ; hum_2 ; peho_1,one3=place/piece,,,peho=hum,
pehura,tio,pehura,n2,paree,,,,,
peira,tio,peira,n3,,,,,,
penapena_1,tio,penapena,vi,,,,,,
penapena_2,tio,penapena,n2,,,,,,
peni,tio,peni,vt,,,,,,pen
peo_1,tio,peo,vt,peepeo,,,,,
peo_2,tio,peo,numeral,,,,,,peho
pepeesi,tio,pepeesi,adj,manii_1 ; moorii_2,RED-sour,,,pe-peesi,
peraha,tio,peraha,vi,,,,,,
peree,tio,peree,adj,buhiana ; makasi_2 ; pereperee_1,,,,,
pereke,tio,pereke,n2,urupi,,,,,
pereperee_1,tio,pereperee,adj,genun ; koea ; peree ; vapereperee,RED-unripe,,,pere-peree,
pereperee_2,tio,pereperee,n2,pereperee_1,,,,,
pereperee_3,tio,pereperee,n3,,RED-raw,,,pere-peree,
perete,tio,perete,n2,urisi_1 ; vaatei,,,,,
perono,tio,perono,vt,,,,,,
perorii,tio,perorii,n3,bao_1,,,,,
pesu_1,tio,pesu,vt,kosi_2 ; nuke ; tapesu,,,,,
pesu_2,tio,pesu,n3,biae ; bohara ; kapa_1,,,,,
pesun,tio,pesun,n3,kapa_kokoraa ; pesu_2,,,,,
pesupaava,tio,pesupaava,n3,mataresu ; vinugu ; vunuu,,,,,
pesupesu,tio,pesupesu,vt,maurata_2 ; pesu_1,RED-pick,,,pesu-pesu,
pesuu,tio,pesuu,n3,ahono ; uruurunata_1,,,,,
petata,tio,petata,n3,menaga,,,,,
pete,tio,pete,adv,,,,,,
petepete,tio,petepete,adv,,RED-in.addition,,pete,pete-pete,
pia,tio,pia,vi,piipia_vaa_gina,,,,,
piana,tio,piana,n1,,,,,,
pidaa,tio,pidaa,n2,koa_1,,,,,
pihae,tio,pihae,n3,sunusunuu_ni ; sunuu_1 ; vin,,,,,
pihan,tio,pihan,vt,vapihan,,,,,
pihi_1,tio,pihi,vt,buu ; pipihiaraka,,,,,
pihi_2,tio,pihi,n3,kara_pihi,,,,,
pihikoava,tio,pihikoava,n2,,fart-rotten,,,pihi-koava,
pihipihi,tio,pihipihi,adj,pihi_1,RED-sting,,,pihi-pihi,
pii_1,tio,pii,n2,piipii_2 ; tapuhaka,,,,,
pii_2,tio,pii,vi,piipii_2,,,,,
piimaa,tio,piimaa,n2,vaabuaku_3,,,,,
piiniana_1,tio,piiniana,vi,piiniana_2 ; vaapiiniana_ki,,,,,
piiniana_2,tio,piiniana,n3,vaapiiniana,,,,,
piipia_vaa_gina,tio,piipia vaa gina,vi.constr,gina,RED-grow.tall LNK-up,vi - linker - adv,,pii-pia vaa gina,
piipie,tio,piipie,n2,,,,,,
piipii_1,tio,piipii,n2,pii_1 ; tokapisi,RED-sore,,,pii-pii,
piipii_2,tio,piipii,vi,pii_2 ; vapiipii,RED-sore,,,pii-pii,
piipii_3,tio,piipii,adj,pii_1 ; pii_2,RED-sore,,,pii-pii,
piipii_oha,tio,piipii oha,vi.constr,hanatono ; oha_3 ; subu_oha,RED-get.sores all.over,vi - adv,,pii-pii oha,
piipiiana,tio,piipiiana,adj,pii_2,RED-sore-ADJR,,,pii-pii-ana,
piipiku_1,tio,piipiku,vt,piku_1,RED-lie,,,pii-piku,
piipiku_2,tio,piipiku,n2,piku_1,RED-lie,,,pii-piku,
piipipi,tio,piipipi,vi,pipi ; venuta,RED-block,,,pii-pipi,
piipita_1,tio,piipita,vi,pita_1,RED-walk,,,pii-pita,
piipita_2,tio,piipita,n2,,RED-walk,,,pii-pita,
pikei,tio,pikei,n2,,,,,,
piki,tio,piki,n3,magimagi,,,,,
pikoo,tio,pikoo,vt,,,,,,
piksia,tio,piksia,n3,,,,,,
piku_1,tio,piku,vi/vt,piipiku_1 ; piipiku_2,,,,,
piku_2,tio,piku,n3,,,,,,
piku_ni,tio,piku ni,vt.constr,piku_1 ; vahogo_2,lie APPL,vi/vt - appl,,piku ni,
pikupiku,tio,pikupiku,vt,piipiku_1 ; piku_1,RED-lie,,,piku-piku,
pina,tio,pina,adv,hua_pina ; koto,,,,,
pinagi,tio,pinagi,vi/vt,mohina_kaukau,,,,,
pinat,tio,pinat,n2,,,,,,
pingaa,tio,pingaa,n2,ahiahi ; asiata ; hoovu ; matavoana ; pasuaromo,,,,,
pino,tio,pino,vi,ona_1,,,,,
pinopino,tio,pinopino,adv,kao_pinopino ; teitei_pinopino,,,,,
piono,tio,piono,n2,rovi ; vasupisupi,,,,,
piopio,tio,piopio,n2,,,,,,
pipi,tio,pipi,vt,esuu ; metaono ; piipipi ; rokoitoa,,,,,
pipihiaraka,tio,pipihiaraka,n2,karavona,,,,,
pipihoi,tio,pipihoi,n3,iobo ; puhuku_1,,,,,
pipikoo,tio,pipikoo,n3,viagoo,,,,,
pipimirari,tio,pipimirari,n3,kokobusu ; suva_1,,,,,
pipiuvu_kahi,tio,pipiuvu kahi,vd.constr,aniva ; avu,blow from,vt - prep,,pipiuvu kahi,
piraa,tio,piraa,n3,huan ; vaakasi_2,,,,,
piraka,tio,piraka,n3,,,,,,
piriki,tio,piriki,vt,vaasipoana_1,,,,,
piriris,tio,piriris,vi,,,,,,
pirisbaa,tio,pirisbaa,n3,vonaha,,,,,
piroo,tio,piroo,n3,enasun ; kapoko ; vavaaenasun,,,,,
piropiroto,tio,piropiroto,n2,piroto,RED-damage,,,piro-piroto,
piroto,tio,piroto,vt,tapiroto_1 ; tapitapiroto,,,,,
pirupiruru,tio,pirupiruru,adj,piruru_1 ; piruru_2,RED-snotty,,,piru-piruru,
piruru_1,tio,piruru,vi,pirupiruru,,,,,
piruru_2,tio,piruru,n3,pirupiruru,,,,,
pisai,tio,pisai,n2,dosiri_2 ; papasuu,,,,,
pisi_1,tio,pisi,vt,tapisi ; vaapisi_ni,,,,,
pisi_2,tio,pisi,n2,pisi_1,,,,,
pisi_3,tio,pisi,n2,tae_2,,,,,
pisi_atovo,tio,pisi atovo,vi.constr,pisi_2,folder sago.palm.thatch,n - n,,pisi atovo,
pisi_matana,tio,pisi matana,n3.constr,matana_7,? top.of.the.taro.root,n - n,,pisi matana,
pisiki,tio,pisiki,vt,pisipisiki ; tapisiki,,,,,
pisin,tio,pisin,vd,,,,,,
pisina,tio,pisina,n3,guu_1,bum-DEREL,,,pisi-na,
pisipisi_1,tio,pisipisi,vt,pisi_1,,,,pisi-pisi,
pisipisi_2,tio,pisipisi,vt,taraha_pisi,RED-carve.a.pointed.end,,,pisi-pisi,
pisipisiki,tio,pisipisiki,vt,pisiki,RED-prick,,,pisi-pisiki,
pita_1,tio,pita,vi,kaakoo ; nao_1,,,,,
pita_2,tio,pita,vi,pita_1,,,,,
pita_gunaha,tio,pita gunaha,vi.constr,gunaha,walk go.down,vi - vi,,pita gunaha,
pita_kahi,tio,pita kahi,vt.constr,pita_1,walk away.from,vi - prep,,pita kahi,
pita_mi,tio,pita mi,vt.constr,,walk with,vt - prep,,pita mi,
pita_ni,tio,pita ni,vt.constr,,walk APPL,vt - appl,,pita ni,
pita_suku,tio,pita suku,vt.constr,,walk follow,vi - prep,,pita suku,
pita_taneo,tio,pita taneo,vt.constr,taneo,walk start,vi - vt,,pita taneo,
pita_tavusu,tio,pita tavusu,vi.constr,tavusu_1,walk come.out,vi - vi,,pita tavusu,
pita_vabararaka,tio,pita vabararaka,vi.constr,bararaka_1,walk ADVR-wide,vi - adv,,pita vabararaka,
pita_vasige,tio,pita vasige,vi.constr,vasige,walk limp,vi - adv,,pita vasige,
pita_vasuguna,tio,pita vasuguna,vi.constr,suguna ; vasuguna,walk ADVR-arrive,vi - adv,,pita va-suguna,
pita_vo,tio,pita vo,vi.constr,vo_1,walk GOAL,vi - prep,,pita vo,
pita_voosu,tio,pita voosu,vi.constr,voosu,walk go.home,vi - vi,,pita voosu,
pitapita,tio,pitapita,vi,pita_1,RED-walk,,,pita-pita,
pitopito,tio,pitopito,n2,parapara,,,,,
piuvu_1,tio,piuvu,vi/vt,vapipiuvu,,,,,
piuvu_2,tio,piuvu,n3,tapihuu ; vapipiuvu,,,,,
poa,tio,poa,n3,,,,,,
poa_hiohio,tio,poa hiohio,n3.constr,,bench RED-sit,n - vi,,poa hio-hio,poa hiihio
poana,tio,poana,vt,govuhu ; koro_1,,,,,
pogara,tio,pogara,adj,hakepe ; monamonaa ; vaapogara ; vapogara ; vusuvusu,,,,,
pogoo,tio,pogoo,n3,kasu_muu,,,,,
pogoro,tio,pogoro,vt,rakopo_1 ; tapogoro,,,,,
poha_1,tio,poha,n3,rarao,,,,,
poha_2,tio,poha,vi,pohapoha ; vapopoha,,,,,
pohamana,tio,pohamana,n2,bookua ; buha,,,,,
pohapoha,tio,pohapoha,vi,poha_2 ; potee_1 ; tahii_1,RED-wave,,,poha-poha,
poi,tio,poi,vi,iravata ; takaku_1,,,,,
poka,tio,poka,n2,,,,,,
pokaa_1,tio,pokaa,vt,,,,,,
pokaa_2,tio,pokaa,n2,,,,,,
pokaa_ki,tio,pokaa ki,vd.constr,,say.name DAT,vt - prep,,pokaa ki,
pokaa_ni,tio,pokaa ni,vt.constr,,announce APPL,vt - appl,,pokaa ni,
pokapokaa_1,tio,pokapokaa,vt,pokaa_1,RED-say.name,,,poka-pokaa,
pokapokaa_2,tio,pokapokaa,n3,pokaa_1,RED-name,,,pola-pokaa,
pomae,tio,pomae,determiner,,,,,,poomae
pona,tio,pona,vt,,,,,,
ponisi_1,tio,ponisi,adj,,,,,,
ponisi_2,tio,ponisi,n2,ponisi_1,,,,,ponis
ponoto,tio,ponoto,adj,apaapa ; kapa_ponoto ; kekepaa,,,,,
ponpon_1,tio,ponpon,n2,hoohoa,,,,,
ponpon_2,tio,ponpon,vi,ariono_1,,,,,
ponuu,tio,ponuu,vt,takinima_1 ; vaaponuu_pauna,,,,,
poo,tio,poo,n2,,,,,,
poohi,tio,poohi,n3,gosi,,,,,
poonata,tio,poonata,n2,roovu,,,,,
poonuu,tio,poonuu,n2,kuna_1 ; kurina_2 ; moona_2,,,,,
poonuu_pereperee,tio,poonuu pereperee,n2.constr,,beetle green,n - adj,,poonuu pereperee,
poopopo,tio,poopopo,vi,popo,RED-live,,,poo-popo,
poosisi,tio,poosisi,n3,,,,,,
poosu,tio,poosu,vi,babanihi_1,,,,,
poosusu_1,tio,poosusu,n3,ogaoga_2 ; vua_poosusu,,,,,
poosusu_2,tio,poosusu,n2,ogaoga_2,,,,,
poovo,tio,poovo,vt,kioru_1 ; kioru_2 ; vuiri,,,,,
popo,tio,popo,vi,tooruae,,,,,
popo_vaagum,tio,popo vaagum,vi.constr,vaagum_1,live group,vi - n,,popo vaagum,
popo_vamataa,tio,popo vamataa,vi.constr,,live ADVR-good,vi - adv,,popo va-mataa,
popo_vatamaka,tio,popo vatamaka,vi.constr,,live ADVR-sad,vi - adv,,popo va-tamaka,
popogoro,tio,popogoro,n3,marai,,,,,
popono,tio,popono,n3,korisi,,,,,
popoto_1,tio,popoto,vd,beana_1 ; haba_toa ; rae ; vapopoto,RED-tie,,,po-poto,
popoto_2,tio,popoto,n3,paka_3,,,,,
popoto_ni,tio,popoto ni,vt.constr,vapopoto,wear.in.hair APPL,vd - appl,,popoto ni,
popoura_1,tio,popoura,n2,asun ; mata_kave,,,,,
popoura_2,tio,popoura,vi,,,,,,
poreporete_ni,tio,poreporete ni,vt.constr,porete_ni ; riiroo,RED-heal APPL,vt - appl,,pore-porete ni,
porete_1,tio,porete,vt/vd,kaneasun,,,,,
porete_2,tio,porete,n2/n3,kamisi_nihi ; ruhu ; takutakurusu,,,,,
porete_ni,tio,porete ni,vt.constr,kaneasun ; poreporete_ni,treat APPL,vt - appl,,porete ni,
poro,tio,poro,vi,taporo ; vaaporo_1 ; vaaporo_2 ; vavaaporo,,,,,
poroporo_1,tio,poroporo,vi,poro ; vaaporo_1,RED-explode,,,poro-poro,
poroporo_2,tio,poroporo,adj,,RED-explode,,,poro-poro,
posi,tio,posi,vt/vd,iposi,,,,,
posi_ni,tio,posi ni,vt.constr,,squeeze APPL,vt - appl,,posi ni,
posi_overe_ni,tio,posi overe ni,vt.constr,iposi,squeeze coconut APPL,vt - n - appl,,posi overe ni,
posi_overe_vo,tio,posi overe vo,vi.constr,overe_2,squeeze coconut GOAL,vt - n - prep,,posi overe vo,
posi_vo,tio,posi vo,vt.constr,,squeeze GOAL,vt - prep,,posi vo,
postaono,tio,postaono,n2,,,,,,
potaa,tio,potaa,vt,kopaa ; pee_potaa,,,,,
pote,tio,pote,vi,sue_ki,,,,,
potee_1,tio,potee,n3,aga ; pohapoha ; sinivi_1,,,,,
potee_2,tio,potee,vt,ahiahi ; buuniau ; havanao ; hoovu ; toopei ; urita,,,,,
potee_3,tio,potee,n3,moomono,,,,,
potee_voen,tio,potee voen,vi.constr,,similar like=DEM3,vi - prep = adv,,potee vo=en,
poto,tio,poto,vt,ato_1,,,,,
potopotoriana,tio,potopotoriana,adj,potori ; usu_2,RED-white.hair-ADJR,,,poto-potori-ana,
potori,tio,potori,n3,potopotoriana ; sue_vataaree_ni,,,,,
pou,tio,pou,vt/vd,,,,,,
pou_vamate,tio,pou vamate,vt.constr,vamate,hit ADVR-dead,vt - adv,,pou va-mate,
poupou,tio,poupou,vd,pou,RED-beat,,,pou-pou,
puana_1,tio,puana,vi,pupuana ; vapupuana,,,,,
puana_2,tio,puana,n2,puana_1,,,,,
puara,tio,puara,adj,arau ; viipana,,,,,
puhaka,tio,puhaka,vt,hiapa,,,,,
puhana_1,tio,puhana,n3,gohoho_2 ; tarahi_2,,,,,
puhana_2,tio,puhana,vi,gohoho_1 ; masi_1 ; tarahi_1,,,,,
puhana_hopo,tio,puhana hopo,vi.constr,anahuna ; puhana_2,become.high.tide enter,vi - vi,,puhana hopo,
puhu,tio,puhu,n2,vatatana_1,,,,,
puhuku_1,tio,puhuku,vi,pipihoi,,,,,
puhuku_2,tio,puhuku,n2,govee ; momoraa,,,,,
puhuku_hiava,tio,puhuku hiava,vi.constr,maavu ; puhuku_hiava,be.heaped go.up,vi - vi,,puhuku hiava,
puisi,tio,puisi,n1,kahi_3 ; keusu,,,,,
pukaa,tio,pukaa,n3,,,,,,
pukapukaa_romrom,tio,pukapukaa romrom,adj.constr,pukaa,RED-lump RED-cross-cut(ting),n - vt,,puka-pukaa rom-rom,
punaa,tio,punaa,n2,,,,,,
punete,tio,punete,n2/n3,,,,,,
punete_kave,tio,punete kave,n3.constr,punete,edge fishing.net,n - n,,punete kave,
pupu,tio,pupu,n2,,,,,,
pupuana,tio,pupuana,vi,puana_1 ; vapupuana,RED-fight,,,pu-puana,
pupuara,tio,pupuara,n3,,,,,,
pupuhu_1,tio,pupuhu,vt,orana_1 ; sibono_1,,,,,
pupuhu_2,tio,pupuhu,n2,pupuhu_1,,,,,
pupuraka,tio,pupuraka,vi,,,,,,
pupuru,tio,pupuru,vt,,,,,,
pura_1,tio,pura,vi,rapisi_1,,,,,
pura_2,tio,pura,vi,,,,,,
pura_hiava_1,tio,pura hiava,vt.constr,hiava,grow go.up,vt - vi,,pura hiava,
pura_hiava_2,tio,pura hiava,n2.constr,borekape ; hiava,grow go.up,vi - vi,,pura hiava,
pura_hiava_antee,tio,pura hiava antee,vt.constr,antee_1 ; goton,grow up reach,vi - vi - vt,,pura hiava antee,
pura_hiava_vatotobin,tio,pura hiava vatotobin,vi.constr,vageegeno,grow go.up ADVR-straight,vi - vi -adv,,pura hiava va-totobin,
pura_hopo_vo,tio,pura hopo vo,vi.constr,hopo_1 ; pura_tavusu,grow go.into GOAL,vi - vi - prep,,pura hopo vo,
pura_komana,tio,pura komana,vi.constr,pura_2 ; pura_pinopino,grow by itself,vi - adv,,pura komana,
pura_ni,tio,pura ni,vt.constr,kavuhu,spit APPL,vi - appl,,pura ni,
pura_pinopino,tio,pura pinopino,vi.constr,pura_2,grow everywhere.without.care,vi - adv,,pura pinopino,
pura_tavusu,tio,pura tavusu,vi.constr,pura_2 ; pura_hiava_1,grow go.out,vi - vi,,pura tavusu,
pura_vaa_teo_naono,tio,pura vaa teo naono,vi.constr,,grow LNK PREP=ART3.SG tree,vi - linker - prep - NP,,pura vaa te=o naono,
pura_vatotobin,tio,pura vatotobin,vi.constr,koverau,grow ADVR-straight,vi - adv,,pura va-totobin,
puragete,tio,puragete,n3,uvuuvu,,,,,
purai,tio,purai,n3,,,,,,
purapura,tio,purapura,vi,pura_2,RED-grow,,,pura-pura,
purihi,tio,purihi,adj,puripurihi ; vaapurihi,,,,,
purikaha,tio,purikaha,vt,puripurikaha,,,,,
puripurihi,tio,puripurihi,adj,,RED-wet,,,puri-purihi,
puripurikaha,tio,puripurikaha,vi,purikaha,RED-loosen,,,puri-purikaha,
purupuru_1,tio,purupuru,n2/n3,binaa ; kosi_3,,,,,
purupuru_2,tio,purupuru,n3,vedoro,,,,,
pururu,tio,pururu,n3,,,,,,
purutene,tio,purutene,n3,,,,,,
pus_toa,tio,pus toa,n3,vabooboha,base chicken,,,pus toa,
pusipusi,tio,pusipusi,n3,buha ; buuniau,,,,,
pusu_1,tio,pusu,n3,bai_1 ; baneo_1 ; hapehape_2 ; hiapa ; onoono,,,,,
pusu_2,tio,pusu,n2,pusu_3,,,,,
pusu_3,tio,pusu,vi,,,,,,
pusu_biae,tio,pusu biae,n3.constr,biae,,n - n,,,pusbiae
pusu_guu,tio,pusu guu,n2.constr,guu_1 ; pusuguu,base pig,n - n,,pusu guu,pusuguu
pusu_hiovu_1,tio,pusu hiovu,n3.constr,hovu_1 ; ta_hiovu_1,? stick.for.catching.sea-sausages,n - n,,pusu hiovu,pusu ihiovu
pusu_hiovu_2,tio,pusu hiovu,n3.constr,hovu_2 ; hovu_overe_ni,husker,n - n,,pusu hiovu,
pusu_kuhikuhi,tio,pusu kuhikuhi,n3.constr,pakoo_2,,n - n,,,
pusu_naono,tio,pusu naono,n3.constr,,base tree,n - n,,pusu naono,
pusuguu,tio,pusuguu,n2,,base-pig,,,pusu-guu,
pusunae,tio,pusunae,n2.constr,pusu_2,base-3SG.POSS=3SG.PRON,n = pron,,pusu-na=e,
putaa,tio,putaa,adv,gina ; putaa,,,,,
putaka,tio,putaka,vi,,,,,,
pute,tio,pute,vt,ropusu ; tapute,,,,,
pute_kahi,tio,pute kahi,vd.constr,pute ; tapute_kahi,pull.out from,vt - prep,,pute kahi,
raagu,tio,raagu,n3,kare_2 ; kiroko_2 ; raraaguu,,,,,raaguu
raaguu,tio,raaguu,n3,vakarekare,,,,,
raakato,tio,raakato,interjection,,,,,,
raakee,tio,raakee,n2,,,,,,
raama,tio,raama,n3,sunuu_taataana ; suuturaama,,,,,
raama_benesin,tio,raama benesin,n3.constr,benesin ; karakoovi ; sunuu_1,lamp kerosine,n - n,,raama benesin,
raara_1,tio,raara,clitic constr,ara_1,1PL.IN.IPFV=1PL.IN.PRON,tam = pron,,ra=ara,
raara_2,tio,raara,clitic constr,ara_1 ; pasuka_moo,1PL.IN.POSS=1PL.IN.PRON,possessive marker = pron,,ra=ara,
raarae,tio,raarae,clitic constr,ara_1 ; e_2,1PL.IN.IPFV=1PL.IN.PRON=3SG.PRON,tam = pron = pron,,ra=ara=e,
raarare,tio,raarare,vt,rare ; varaarare,RED-sort.out,,,raa-rare,
raarata,tio,raarata,n2,,,,,,
raatana,tio,raatana,n2,,,,,,
rabitava,tio,rabitava,n2,kana,,,,,
rabutana,tio,rabutana,n3,vuavua ; vuavua_vaberobero,,,,,rambutana
rae,tio,rae,clitic constr,rara,1PL.IN.IPFV=3SG.PRON,tam = pron,,ra=e,
raen_1,tio,raen,n3,raen_ni,,,,,
raen_2,tio,raen,clitic constr,en ; vo_2,1PL.IN.IPFV=DEM3,tam = adv,,ra=en,
raen_ni,tio,raen ni,vt.constr,raen_1,line APPL,n - appl,,raen ni,
raeroo,tio,raeroo,n2,,,,,,
raesi,tio,raesi,n2,,,,,,raes
ragetana,tio,ragetana,n3,kurinae,,,,,
raha,tio,raha,vi/vt,,,,,,
rahi_1,tio,rahi,vt/vd,agaagaa ; araa_1 ; gaagaga_1 ; vaamin,,,,,
rahi_2,tio,rahi,n3,buoto_karaa ; paeri ; rahirahi_3,,,,,
rahi_gunaha,tio,rahi gunaha,vt.constr,,pull go.down,vt - vi,,rahi gunaha,
rahi_hiava,tio,rahi hiava,vt.constr,,pull go.up,vt - vi,,rahi hiava,
rahi_kahi,tio,rahi kahi,vd.constr,,pull from,vt - prep,,rahi kahi,
rahi_kopaa_ni,tio,rahi kopaa ni,vt.constr,rahirahi_kopaa ; riirivi ; vaarihi_ni,stripe cut.from.top.to.bottom APPL,n - vt - appl,,rahi kopaa ni,
rahi_ni,tio,rahi ni,vt.constr,,pull APPL,vt - appl,,rahi ni,
rahi_parata,tio,rahi parata,vt.constr,parata ; rahi_1,pull open,vt - vt,,rahi parata,
rahi_rooroto,tio,rahi rooroto,vt.constr,,pull tie.tight,vt - vt,,rahi rooroto,
rahi_takin,tio,rahi takin,vt.constr,takin,pull come.out.of.the.water,vt - vi,,rahi takin,
rahi_tavusu,tio,rahi tavusu,vt.constr,haopi ; tavusu_1,pull come.out,vt - vi,,rahi tavusu,
rahi_tavusu_kahi,tio,rahi tavusu kahi,vd.constr,rahi_tavusu,pull come.out from,vt - vi - prep,,rahi tavusu kahi,
rahi_vaadovo_ni,tio,rahi vaadovo ni,vt.constr,rahirahi_vaadovo_ni,pull CAUS-sink APPL,vt - vt - appl,,rahi vaa-dovo ni,
rahi_vatatana_ni,tio,rahi vatatana ni,vt.constr,vatatana_2,pull MULT-meet appl,vt - adv - appl,,rahi va-tatana ni,
rahi_vateretereree_ni,tio,rahi vateretereree ni,vt.constr,rooroto_2,pull CAUS-RED-hover APPL,vt - vt - appl,,rahi va-tere-tereree ni,
rahi_vatomanin_ni,tio,rahi vatomanin ni,vt.constr,,pull CAUS-tight APPL,vt - vt - appl,,rahi va-tomanin ni,
rahirahi_1,tio,rahirahi,vi,pereke ; rahirahi_vakasikasiree ; tooruae,,,,,
rahirahi_2,tio,rahirahi,vt/vd,busubusu ; tatasu_2,RED-pull,,,rahi-rahi,
rahirahi_3,tio,rahirahi,n2,paeri ; rahi_2 ; rihirihi,,,,,
rahirahi_gunaha_vo,tio,rahirahi gunaha vo,vi.constr,,stripes go.down GOAL,vi - vi - prep,,rahirahi gunaha vo,
rahirahi_kakaavoo,tio,rahirahi kakaavoo,adj.constr,rahirahi_3,stripes white,n - adj,,rahirahi kakaavoo,
rahirahi_kopaa,tio,rahirahi kopaa,adj.constr,kopaa ; rahi_2,stripes cut.from.top.to.bottom,n - vt,,rahirahi kopaa,
rahirahi_paru,tio,rahirahi paru,adj.constr,rahirahi_3 ; tovasuae ; vigogiri,stripes black,n - adj,,rahirahi paru,
rahirahi_rom_1,tio,rahirahi rom,n2.constr,taasupe,stripes slice,n - vt,,rahirahi rom,
rahirahi_rom_2,tio,rahirahi rom,adj.constr,koinia_1 ; rom_2,stripes slice,n - vt,,rahirahi rom,
rahirahi_rom_paru,tio,rahirahi rom paru,adj.constr,koinia_1 ; rom_2,stripes slice black,n - vt - adj,,rahirahi rom paru,
rahirahi_tavusu,tio,rahirahi tavusu,vt.constr,rahi_tavusu,RED-pull go.out,vt - vi,,rahi-rahi tavusu,
rahirahi_uruurunata,tio,rahirahi uruurunata,adj.constr,uruurunata_1,stripes RED-flood,n - adj,,rahirahi uru-urunata,
rahirahi_vaadovo_ni,tio,rahirahi vaadovo ni,vt.constr,dovo ; kave_goroto ; koriitoo ; rahi_vaadovo_ni,RED-pull CAUS-sink APPL,vt - vt - appl,,rahi-rahi vaa-dovo ni,
rahirahi_vabebeahu,tio,rahirahi vabebeahu,vi.constr,komabee,be.striped ADVR-long,vi - adv,,rahirahi va-bebeahu,
rahirahi_vakasikasiree,tio,rahirahi vakasikasiree,vi.constr,rahirahi_1 ; vakasikasiree,be.striped ADVR-yellow,vi - adv,,rahirahi va-kasikasiree,
raka,tio,raka,vi,ariono_2 ; varoava,,,,,
rakaraka,tio,rakaraka,adj,raka,RED-dry,,,raka-raka,
rake_1,tio,rake,vt,takaha_1 ; takaha_2,,,,,
rake_2,tio,rake,vt,,,,,,
rake_3,tio,rake,n3,,wish,,,rake,
rake_be,tio,rake be,vt.constr,,want COMPL2,vt - conj,,rake be,
rake_tea,tio,rake tea,vt.constr,,want COMPL1,vt - conj,,rake tea,
LX000035,tio,rake vo...en,vt.constr,LX000036,want like DEM3..,vt - prep - adv,,rake vo...en,
rakerake_1,tio,rakerake,vt,rake_1,RED-want,,,rake-rake,
rakerake_2,tio,rakerake,vt,rake_2,RED-search.for,,,rake-rake,
LX000036,tio,rakerake vo...en,vt.constr,LX000035,RED-want like ... DEM3,vt - prep - adv,,rake-rake vo...en,
rakopo_1,tio,rakopo,n3,nanisi ; pogoro,,,,,
rakopo_2,tio,rakopo,vi,moomono,,,,,
rakorakoto,tio,rakorakoto,vi,haeasita ; noovuu,RED-stick.on,,,rako-rakoto,
rakoto,tio,rakoto,vi,damidami ; haeasita ; iposi ; rakorakoto,,,,,
rambutan,tio,rambutan,n3,,,,,,
rame,tio,rame,vt,,,,,,
rameana,tio,rameana,n3,,,,,,
ramerame,tio,ramerame,vt,rame,RED-lick,,,rame-rame,
ramerame_suvahi,tio,ramerame suvahi,n2.constr,bakubaku ; veraka_1,RED-lick ?,n - ?,,rame-rame suvahi,
ramisi,tio,ramisi,n3,hatana ; overe_3,,,,,ramis
ranii_1,tio,ranii,vi/vt,kioru_2 ; momohana,,,,,
ranii_2,tio,ranii,n3,,,,,,
raniranii,tio,raniranii,adj,ivoohi_1 ; momohana,RED-irritate,,,rani-ranii,
raon,tio,raon,n3,monomono ; moomono ; tao_1,,,,,raono
raori,tio,raori,clitic constr,rara,1PL.IN.IPFV=3PL.PRON,tam = pron,,ra=ori,
rapa-,tio,rapa-,n2,aasun ; rapana_namana,,,,,
rapana,tio,rapana,n2.constr,rapa- ; rapano_1 ; rapano_2,side-3SG.POSS=ART2.SG,n2 = art,,rapa-n=a,
rapana_kasuana,tio,rapana kasuana,n2.constr,anahuna ; rapa- ; sakosakopo ; taasupe,side-3SG.POSS=ART2.SG beach,n - NP,,rapa-n=a kasuana,
rapana_namana,tio,rapana namana,n2.constr,eva ; rapa- ; urupi,side-3SG.POSS=ART2.SG ocean,n - NP,,rapa-n=a namana,
rapanae,tio,rapanae,n2.constr,rapa-,side-3SG.POSS=3SG.PRON,n = pron,,rapa-na=e,
rapano_1,tio,rapano,n2.constr,rapa- ; rapana,side-3SG.POSS=ART3.SG,n - art,,rapa-n=o,
rapano_2,tio,rapano,n2.constr,haopi ; rapa- ; rapana,side-3SG.POSS=ART2.PL,n = art,,rapa-n=o,
rapano_sinivi,tio,rapano sinivi,n2.constr,rapa-,side-3SG.POSS=ART3.SG canoe,n - NP,,rapa-n=o sinivi,
rapaono,tio,rapaono,n3,,,,,,
