ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Gloss,MWE_Structure,Main_Entry,Morphology,Variant_Form
anun,tio,anun,n3,biroo ; tako_1,,,,,
aoao,tio,aoao,n2,,,,,,
aobo,tio,aobo,n2,upee_2 ; vaaobo,,,,,
apaapa,tio,apaapa,adj,averu ; kapa_apaapa ; kekepaa ; peepesu,,,,,
apao_1,tio,apao,n2,mohina ; subui_2,,,,,
apao_2,tio,apao,vi,subui_2,,,,,
apeapeo,tio,apeapeo,vt,koopu_3,RED-stuff.into.bamboo,,,ape-apeo,
apeapeo_ni,tio,apeapeo ni,vt.constr,koopu_3,RED-stuff.into.bamboo APPL,vt - appl,,ape-apeo ni,
apeo,tio,apeo,vt,apeapeo,,,,,
apesuu,tio,apesuu,n3,,,,,,
aposi,tio,aposi,n2,kaposi,,,,,
ara_1,tio,ara,pron,are_3 ; eara ; meara ; raara_1 ; raara_2,1PL.IN.PRON,,,ara,
ara_2,tio,ara,object marker,araara ; araraara,1PL.IN.OBJM,,,ara,
araa_1,tio,araa,vi/vt,agaagaa ; busubusu ; hana_taataana ; rahi_1 ; sunuu_taataana,,,,,
araa_2,tio,araa,n3,pasu_araa,,,,,
araapa,tio,araapa,n3,kapikapi ; koko,,,,,
araara,tio,araara,clitic constr,ara_1,1PL.IN.OBJM=1PL.IN.PRON,object marker = pron,,ara=ara,
araaraa,tio,araaraa,vi,beana_1 ; mataniva,RED-angle,,,ara-araa,
araaraa_hoohoa,tio,araaraa hoohoa,vi.constr,araa_1 ; hoohoa,RED-angle needlefish,vi - n,,ara-araa hoohoa,
araaraa_ni,tio,araaraa ni,vt.constr,araa_1 ; ariono_2 ; nasi ; saruvee ; vavaatoa_2,RED-angle APPL,vi - appl,,ara-araa ni,
araaraa_ponpon_ni,tio,araaraa ponpon ni,vt.constr,ariono_2 ; nasi ; ponpon_1 ; saruvee ; vavaatoa_2,RED-angle ponpon APPL,vt - n - appl,,ara-araa ponpon ni,
araarae,tio,araarae,clitic constr,ara_1 ; ara_2,1PL.IN.OBJM=1PL.IN.PRON=3SG.PRON,object marker = pron = pron,,ara=ara=e,
arae,tio,arae,clitic constr,ara_1 ; e_2,1PL.IN.PRON=3SG.PRON,pron = pron,,ara=e,
arai_1,tio,arai,n3,hatana ; paapao,,,,,
arai_2,tio,arai,vi,are_2 ; rivo,,,,,
arai_3,tio,arai,clitic constr,LX000074 ; ara_1,1PL.IN.PRON=DEM1,pron = dem,,ara=i,
araka,tio,araka,vi,,,,,,
arana,tio,arana,vi,,,,,,
aranavi,tio,aranavi,n2,boon_2 ; busubusu ; kana ; sinarona ; tatasu_2,,,,,
arapa,tio,arapa,vi,dovo,,,,,
araraara,tio,araraara,clitic constr,ara_1 ; araara,1PL.IN.OBJM=1PL.IN.IPFV=1PL.IN.PRON,object marker = tam = pron,,ara=ra=ara,
arata_suku,tio,arata suku,vt.constr,suku_2,grieve because.of,vi - prep,,arata suku,
arau,tio,arau,vi,arau_ni ; puara ; LX000058,,,,,
arau_ni,tio,arau ni,vt.constr,,adapt APPL,vi - appl,,arau ni,
arau_vo,tio,arau vo,vi.constr,arau ; vo_1,adapt GOAL,vi - prep,,arau vo,
are_1,tio,are,n3,gaagau ; kuraveo ; tobara_2,,,,,
are_2,tio,are,n2,kakiroo ; naha,,,,,
are_3,tio,are,clitic constr,ara_1 ; re,1PL.IN.PRON=CONSEC,pron = conj,,a=re,
are_4,tio,are,adv,,,,,,
are_boha,tio,are boha,interrogative constr,are_4,certainly say,adv - vi,,are boha,
areau,tio,areau,n2,kaha_2,,,,,
arepaa,tio,arepaa,clitic constr,are_3 ; paa ; re,1PL.IN.PRON=CONSEC=TAM3,pron = conj = tam,,a=re=paa,are paa
ariarikoo,tio,ariarikoo,n3,baneo_1,RED-breadfruit.seed,,,ari-arikoo,
ariata,tio,ariata,n3,vuavua,,,,,
arikoo,tio,arikoo,n2,baneo_2,,,,,
arin,tio,arin,vt,arin_tavusu,,,,,
arin_tavusu,tio,arin tavusu,vt.constr,,pull.out go.out,vt - vi,,arini tavusu,arin tavus
ariono_1,tio,ariono,n2,ipaava,,,,,
ariono_2,tio,ariono,n2,gago ; kara_ariono ; paku_kave,,,,,
arioto,tio,arioto,vi,,,,,,
aro,tio,aro,n2,,,,,,
aromo,tio,aromo,vt,buha ; buuniau ; sinoo_1,,,,,
asi,tio,asi,vi,vaanoto,,,,,
asi_gunaha,tio,asi gunaha,vi.constr,,burn:go.down,vi - vi,,asi gunaha,
asi_kaku,tio,asi kaku,vi.constr,kakapihi ; kaporo_3,burn ?,vi - ?,,asi kaku,
asi_kavu,tio,asi kavu,vi.constr,kavu,burn perish,vi - vi,,asi kavu,
asi_manoto,tio,asi manoto,vi.constr,agevana ; barabarana ; inimoo ; manoto,burn mature,vi - vi,,asi manoto,
asi_ni,tio,asi ni,vt.constr,vaadovudovuru,burn APPL,vi - appl,,asi ni,
